"Record Number","Record Type","Licensee Name","Address","Expiration Date","Status","Home Delivery","Disciplinary Action",
"AU-R-001010","Marihuana Retailer - License","Dreams Canna","28930 South Telegraph RD, southfield MI 48034","06/14/2024","Active",,,
"AU-G-C-001233","Class C Marihuana Grower - License","HGZ Group LLC","9147 N Chippewa RD, Coleman MI 48618","06/14/2024","Active",,,
"AU-ER-004130","Adult-Use Entity Registration - License","ML Enterprises MI LLC",,"06/14/2025","Active - Main Prequalified",,,
"AU-ER-004070","Adult-Use Entity Registration - License","Fire Leaf, LLC",,"06/14/2025","Active - Main Prequalified",,,
"AU-ER-004127","Adult-Use Entity Registration - License","HB Coffeeshop, LLC",,"06/13/2025","Active - Main Prequalified",,,
"AU-ER-003834","Adult-Use Entity Registration - License","Steep Industries LLC",,"06/13/2025","Active - Main Prequalified",,,
"AU-R-001005","Marihuana Retailer - License","Fuel 420","3620 S. Huron RD, Bay City MI 48706","04/06/2024","Active",,,
"AU-ER-003604","Adult-Use Entity Registration - License","FRIENDLY'S LLC",,"06/12/2025","Active - Main Prequalified",,,
"AU-G-C-001241","Class C Marihuana Grower - License","Wise Tree Farms LLC","8751 N. Wise RD, Clare MI 48617","06/12/2024","Active",,,
"AU-R-001011","Marihuana Retailer - License","Bloomfield Development Group Grow LLC","17812 US Hwy 2, Gould City MI 49838","07/05/2024","Active",,,
"AU-R-001009","Marihuana Retailer - License","Puff","4305 Portage ST, Kalamazoo MI 49001","12/23/2023","Active",,,
"AU-R-001000","Marihuana Retailer - License","Gatsby Cannabis Co.","15530 11 Mile RD, Battle Creek MI 49014","06/09/2024","Active",,,
"AU-ER-004102","Adult-Use Entity Registration - License","Firehouse Organics, LLC",,"06/09/2025","Active - Main Prequalified",,,
"AU-ER-004098","Adult-Use Entity Registration - License","Moses Roses Port Huron Inc.",,"06/09/2025","Active - Main Prequalified",,,
"AU-G-EX-000361","Excess Marihuana Grower - License","Dragonfly Vega","26980 County Road 215, Bangor MI 49013","07/21/2024","Active",,,
"AU-ER-004091","Adult-Use Entity Registration - License","PC Industries LLC",,"06/08/2025","Active - Main Prequalified",,,
"AU-R-001013","Marihuana Retailer - License","Lume Cannabis Co.","26760 Lahser RD, Southfield MI 48033","11/27/2023","Active",,,
"AU-R-001017","Marihuana Retailer - License","Nar Inkster","29899 Michigan AVE, Inkster MI 48141","06/08/2024","Active",,,
"AU-ER-004008","Adult-Use Entity Registration - License","Redbud Roots Lab VII, Inc.",,"06/08/2025","Active - Main Prequalified",,,
"AU-ER-004077","Adult-Use Entity Registration - License","Uprise Products Michigan, LLC",,"06/07/2025","Active - Main Prequalified",,,
"AU-ER-004079","Adult-Use Entity Registration - License","Uprise Grow Michigan, LLC",,"06/07/2025","Active - Main Prequalified",,,
"AU-P-000420","Marihuana Processor - License","Michigan Pure Green, LLC","690 Industrial PKWY, Clare MI 48617","08/10/2024","Active",,,
"AU-G-C-001247","Class C Marihuana Grower - License","Grow Arlington","52981 28th AVE, Bangor MI 49013","06/07/2024","Active",,,
"AU-ER-004121","Adult-Use Entity Registration - License","K Farm Organics, LLC",,"06/07/2025","Active - Main Prequalified",,,
"AU-G-C-001239","Class C Marihuana Grower - License","WELLHEAD PROVISIONS LLC","18309 Fox TRL, Cassopolis MI 49031","07/19/2024","Active",,,
"AU-R-001008","Marihuana Retailer - License","Green Acres Collective, LLC","1444 Inkster RD, Inkster MI 48141","06/07/2024","Active",,,
"AU-R-000986","Marihuana Retailer - License","The Woods Detroit","12625 Kercheval AVE, Detroit MI 48215","06/07/2024","Active",,,
"AU-ER-004118","Adult-Use Entity Registration - License","SIMPLE AG NEW BUFFALO LLC",,"06/07/2025","Active - Main Prequalified",,,
"AU-TME-000160","Temporary Marihuana Event - License","Legacy Michigan","301 Bowie ST, Hartford MI 49057","07/23/2023","Active","Event Name: Legacy Michigan | Event Address: 301 Bowie St, Hartford, MI 49057 | Event Dates: 7/21/2023 through 7/23/2023, 12 PM-11 PM",,
"AU-TME-000164","Temporary Marihuana Event - License","Summer's End Smoke Out","9570 M-95, Republic MI 49879","08/13/2023","Active","Event Name: Summer's End Smoke Out | Event Address: 9570 M-95, Republic, MI 49879 | Event Dates: 8/11/2023 - 8/13/2023",,
"AU-G-C-001235","Class C Marihuana Grower - License","Makana Fields, LLC","1141 Eden WAY Suite B, Chesaning MI 48616","06/24/2024","Active",,,
"AU-ER-003951","Adult-Use Entity Registration - License","Laughing Leaf, LLC",,"06/06/2025","Active - Main Prequalified",,,
"AU-ER-004103","Adult-Use Entity Registration - License","MBD Ventures, LLC",,"06/05/2025","Active - Main Prequalified",,,
"AU-ER-004089","Adult-Use Entity Registration - License","50 E North Territorial LLC",,"06/05/2025","Active - Main Prequalified",,,
"AU-ER-004071","Adult-Use Entity Registration - License","Fire Highland LLC",,"06/05/2025","Active - Main Prequalified",,,
"AU-ER-004044","Adult-Use Entity Registration - License","The Black Market Cannabis Company, LLC",,"06/02/2025","Active - Main Prequalified",,,
"AU-ER-004073","Adult-Use Entity Registration - License","Whitewood Ventures, LLC",,"06/02/2025","Active - Main Prequalified",,,
"AU-ER-004076","Adult-Use Entity Registration - License","AFJN Holdings, LLC",,"06/02/2025","Active - Main Prequalified",,,
"AU-G-B-000255","Class B Marihuana Grower - License","413SD, LLC","403 S Dix ST, Detroit MI 48217","06/01/2024","Active",,,
"AU-R-001007","Marihuana Retailer - License","BE Provisioning","403 S. Main ST, Crystal MI 48818","04/16/2024","Active",,,
"AU-R-001006","Marihuana Retailer - License","Nirvana Lowell, LLC","1250 W Main SE ST, Lowell MI 49331","06/01/2024","Active",,,
"AU-G-C-001183","Class C Marihuana Grower - License","3BarC INCORPORATED","568 E. Simpson RD, Mancelona MI 49659","06/01/2024","Active",,,
"AU-G-C-001178","Class C Marihuana Grower - License","Farming Management, LLC","1235 Center ST, Lansing MI 48906","05/31/2024","Active",,,
"AU-R-000969","Marihuana Retailer - License","CHRONIC CITY CANNABIS","6810 EAST MCNICHOLS RD, DETROIT MI 48212","05/31/2024","Active",,,
"AU-R-000980","Marihuana Retailer - License","Cloud Gaylord, LLC","710 Edelweiss Village PKWY, Gaylord MI 49735","05/31/2024","Active",,,
"AU-ST-000140","Marihuana Secure Transporter - License","JK Logix Inc","21445 Hoover RD Suite 319, Warren MI 48089","03/11/2024","Active",,,
"AU-ER-003943","Adult-Use Entity Registration - License","Maridell Corporation",,"05/30/2025","Active - Main Prequalified",,,
"AU-R-000990","Marihuana Retailer - License","Cafiero Family Ventures, LLC","1300 E Nine Mile RD, City of Ferndale MI 48220","05/30/2024","Active",,,
"AU-ER-004112","Adult-Use Entity Registration - License","LHSZTY Group LLC",,"05/30/2025","Active - Main Prequalified",,,
"AU-ER-004110","Adult-Use Entity Registration - License","HH Exit 4, LLC",,"05/30/2025","Active - Main Prequalified",,,
"AU-ER-004108","Adult-Use Entity Registration - License","Block Partners, LLC",,"05/30/2025","Active - Main Prequalified",,,
"AU-ER-004086","Adult-Use Entity Registration - License","Ache LLC",,"05/30/2025","Active - Main Prequalified",,,
"AU-R-001001","Marihuana Retailer - License","TOKEN DISPO","1901 S. DORT HWY, FLINT MI 48503","05/30/2024","Active",,,
